"Haleluia, I Love Her So - Ray Charles.",,[Shab],,video,,chart,
Lonely This Christmas - Mudd,G,[Shab],lyrics,video,,chart,
All Shook Up - Elvis Presley ,B♭,[Shab],,video,,chart,
Another Saturday Night - Sam Cooke,A,[Shab],"fast funk-style strumming, start guitar ad-lib, calypso feel solo",video,,chart,
Blue Suede Shoes - Elvis Presley's ,A,[Shab],"Shab start, bass & guitar end tune",video,,chart,
Cupid - Sam Cooke,G,[Shab],"slow, shimmery chords, tremolo",video,,chart,
Don’t Be Cruel - Elvis Presley,E,[Shab],,video,,chart,
Dream Lover - Sam Cooke ,C,[Shab],Intro: C x 4 bars. BVs. End: C6/9,video,,chart,
Earth Angel - Marvin Berry & The Starlightersu,F,[Shab],"long echo, decorated triplets",video,,chart,
Hound Dog - Elvis Presley ,B♭,[Shab],,video,,chart,
I Was The One - Elvis Presley ,C,[Shab],,video,,chart,
Marie’s The Name - Elvis Presley,G,[Shab],claps in intros/verse,video,,chart,
Paralysed - Elvis Presley,E,[Shab],,video,,chart,
Rip It Up - Little Richard,A,[Shab],,video,,chart,
Shake Rattle & Roll - Bill Haley ,E,[Shab],"segue to Flip, Flop and Fly for 1 verse, then back to Shake, Rattle & Roll. Starts with marcus riff",video,,chart,
"That’s Alright, Mama - Elvis Presley",A,[Shab],,video,,chart,
Twistin’ The Night Away - Sam Cooke ,B,[Shab],not too fast.,video,,chart,
Hit The Road Jack - Ray Charles,Gm,All,,video,,chart,
Love Shack - The B52s,C,All,,video,,chart,
Molly Malone - trad,Am,All,,video,,chart,
I Gotta Feeling - Black Eyed Peas,,All,,video,,,
In Hell I'll Be In Good Company - The Dead Southii,,All,,video,,chart,
In Hell I'll Be In Good Company - The Dead South,,All,video,chart,,,
Another Piece Of My Heart - Etta James,,Chris,,,,,
Feeling Good (Muse/Nina Simone),,Chris, ,video,,chart,
My Baby Just Cares For Me,,Chris,,video,,chart,
R.E.S.P.E.C.T - Aretha Franklin,,Chris,,video,,chart,
All About That Bass - Meghan Trainor,A,Emma,,video,,chart,
"Feel It Still - Portugal, The Man.",C♯m,Emma,,video,,chart,chart
Footloose - Kenny Loggins,A,Emma,,video,,chart,
Perfect - Ed Sheeran,A,Emma,,video,,chart,
Roots - Alice Merton,Bm,Emma,,video,,chart,116
The Cup Song - Anna Kendrick,C,Emma,,video,,chart,
Upside Down - Paloma Faith,Dm,Emma,,video,,chart,
Baba O'Reilly - The Who,D,Greg,,video,,chart,
Weather With You - Crowded House,Em,Greg,or Marcus or Patrick could sing this,video,,chart,
9 to 5 - Dolly Parton,E,Kerrie,(original key F#) ,video,,chart,
A Night Like This - Caro Emerald,C♯,Kerrie,,video,,chart,
Beautiful Day - Levellers/Imelda May,Dm,Kerrie,,video,,chart,
Big Bad Handsome Man - Imelda May ,B♭m,Kerrie,,video,,chart,
(The) Boy Does Nothing - Alesha Dixon,,Kerrie,,video,,chart,
Call Me - Hillbilly Moon Explosion,Cm,Kerrie,,video,,chart,
Fever - Little Willie John (Sleaze version),Am,Kerrie,,video,,chart,
Fever - Peggy Lee (Jazz version),Am,Kerrie,,video,,chart,
Get The Party Started - Dick Brave & The Backbeats,Am,Kerrie,,video,,chart,
Gimme Gimme Gimme - ABBA,Dm,Kerrie,,video,,chart,
I Feel The Earth Move - Carole King,Cm,Kerrie,m: g#maj7,video,,chart,
Inside Out - Imelda May,Am,Kerrie,,video,,chart,
Johnny Got A Boom Boom - Imelda May,A,Kerrie,,video,,chart,
Liquor Store - Devil Doll,D,Kerrie,,video,,chart,
Mayhem - Imelda May,E,Kerrie,,video,,chart,
Moondance - Van Morrison,C,Kerrie,,video,,chart,
My Guy  - Mary Wells,B♭,Kerrie,,video,,chart,
Nobody Does It Better - Carly Simon,A,Kerrie,,video,,chart,
Paint It Black - The Rolling Stones,Em,Kerrie,,video,,chart,
Perfect - Fairground Attraction,G,Kerrie,,video,,chart,
Sixth Sense - Imelda May,Dm,Kerrie,,video,,chart,
Son of A Preacher Man,E,Kerrie,,video,,chart,
Summertime - George Gershwin ,,Kerrie,,video,,chart,
Tainted Love - Imelda May,Am,Kerrie,,video,,chart,
Teenage Dirtbag - Wheatus,E,Kerrie,marcus check comp and dist levels,video,,chart,
These Boots Are Made For Walking - Nancy Sinatra,Em,Kerrie,,video,,chart,
Valerie - Amy Winehouse,E,Kerrie,,video,,chart,
Why Don't You Do Right? - Imelda,,Kerrie,https://en.wikipedia.org/wiki/Why_Don%27t_You_Do_Right%3F,video,,chart,
Atomic - Blondie,D,Kerrie,,video,,chart,
Bang Bang - Devil Doll,,Kerrie,,video,,chart,
"Dance Monkey
",,Kerrie,,video,,chart,
Hellfire Club - Imelda May,,Kerrie,,video,,chart,
Ice Cream Man - Tom Waits,,Kerrie,,video,,chart,
Jilted - The Puppini Sisters,Gm,Kerrie,,video,,chart,
Jolene - Dolly Parton,,Kerrie,,video,,chart,
Jumpin’ Jack Flash - Rolling Stones,,Kerrie,,video,,chart,
Maria - Blondie,A,Kerrie,,video,,chart,
Roadrunner - Imelda May,A,Kerrie,,video,,chart,
The Boy Does Nothing - Alesha Dixon,,Kerrie,,video,,chart,88
There's a Man Works Down The Chip Shop Swears He's Elvis - Kirsty MacColl,,Kerrie,,video,,chart,
Santa Baby - Gwen Stefani,C#,Kerrie,,video,,chart,
Merry Christmas Everyone - Shakin' Stevens,A,Kerrie,,video,,chart,
